,gender,age,state,Household Size,Household Income,income
18934,Male,49.0,Sarawak,3 orang,4518.1665,4518.1665
18935,Male,42.0,Sarawak,6 orang dan lebih,4518.25,4518.25
18937,Male,49.0,Sarawak,6 orang dan lebih,4518.4165,2418.4167
18939,Male,66.0,Sarawak,4 orang,4518.6665,1514.8334
18943,Male,55.0,Sarawak,1 orang,4519.5835,4519.5835
18945,Male,56.0,Sarawak,6 orang dan lebih,4519.8335,2282.8333
18947,Female,44.0,Sarawak,2 orang,4520.0835,4520.0835
18949,Female,43.0,Sarawak,5 orang,4520.3335,4520.3335
18950,Female,46.0,Sarawak,6 orang dan lebih,4520.3335,4520.3335
18955,Male,36.0,Sarawak,1 orang,4521.75,4521.75
18957,Male,53.0,Sarawak,2 orang,4522.25,4522.25
18958,Female,61.0,Sarawak,1 orang,4522.6665,4522.6665
18960,Male,72.0,Sarawak,3 orang,4522.9165,4522.9165
18971,Female,44.0,Sarawak,3 orang,4525.0,4525.0
18975,Male,35.0,Sarawak,5 orang,4525.5,3198.4167
18976,Male,42.0,Sarawak,2 orang,4525.75,2560.5
18982,Male,43.0,Sarawak,3 orang,4527.1665,2589.25
18987,Female,24.0,Sarawak,1 orang,4527.8335,4527.8335
18990,Male,38.0,Sarawak,4 orang,4529.5,4529.5
18992,Male,50.0,Sarawak,6 orang dan lebih,4529.9165,4529.9165
18996,Male,52.0,Sarawak,4 orang,4530.8335,4530.8335
18998,Female,44.0,Sarawak,4 orang,4531.3335,1134.1666
18999,Female,57.0,Sarawak,3 orang,4531.5,2021.1666
19001,Male,58.0,Sarawak,4 orang,4531.6665,4531.6665
19006,Male,30.0,Sarawak,4 orang,4531.8335,3679.5
19007,Male,35.0,Sarawak,1 orang,4531.8335,4531.8335
19010,Male,64.0,Sarawak,2 orang,4532.9165,4532.9165
19018,Male,68.0,Sarawak,6 orang dan lebih,4535.1665,2648.0
19019,Female,59.0,Sarawak,1 orang,4535.3335,4535.3335
19020,Male,54.0,Sarawak,5 orang,4535.5835,1808.25
19021,Male,46.0,Sarawak,5 orang,4535.75,2585.9167
19035,Male,49.0,Sarawak,5 orang,4539.3335,4539.3335
19040,Male,64.0,Sarawak,4 orang,4541.25,2669.5833
19046,Male,45.0,Sarawak,5 orang,4543.0,3065.0
19048,Female,29.0,Sarawak,1 orang,4543.1665,4543.1665
19058,Male,22.0,Sarawak,3 orang,4544.75,2607.0
19059,Male,41.0,Sarawak,6 orang dan lebih,4545.0,2385.8333
19060,Female,39.0,Sarawak,4 orang,4545.1665,4545.1665
19061,Male,39.0,Sarawak,2 orang,4545.75,2534.25
19066,Male,47.0,Sarawak,6 orang dan lebih,4546.25,3639.4167
19075,Male,39.0,Sarawak,6 orang dan lebih,4548.75,2525.75
19080,Male,35.0,Sarawak,3 orang,4549.25,2476.9167
19083,Male,28.0,Sarawak,3 orang,4551.25,4551.25
19084,Female,33.0,Sarawak,4 orang,4551.5,4551.5
19085,Male,60.0,Sarawak,4 orang,4551.5,4551.5
